起點站,終點站,行車時間,停等時間
南港展覽館,南港,112,0
南港,昆陽,109,24
昆陽,後山埤,107,25
後山埤,永春,76,29
永春,市政府,87,25
市政府,國父紀念館,77,28
國父紀念館,忠孝敦化,71,28
忠孝敦化,忠孝復興,65,28
忠孝復興,忠孝新生,90,40
忠孝新生,善導寺,81,40
善導寺,台北車站,66,25
台北車站,西門,120,42
西門,龍山寺,110,35
龍山寺,江子翠,192,29
江子翠,新埔,77,28
新埔,板橋,107,28
板橋,府中,67,28
府中,亞東醫院,102,28
亞東醫院,海山,142,26
海山,土城,106,26
土城,永寧,95,26
永寧,頂埔,180,28
南港展覽館,南港軟體園區,78,0
南港軟體園區,東湖,85,25
東湖,葫洲,78,25
葫洲,大湖公園,121,25
大湖公園,內湖,71,25
內湖,文德,78,25
文德,港墘,72,25
港墘,西湖,65,25
西湖,劍南路,110,25
劍南路,大直,103,25
大直,松山機場,172,25
松山機場,中山國中,142,25
中山國中,南京復興,66,25
南京復興,忠孝復興,86,30
忠孝復興,大安,67,45
大安,科技大樓,69,30
科技大樓,六張犁,122,25
六張犁,麟光,72,25
麟光,辛亥,124,25
辛亥,萬芳醫院,106,25
萬芳醫院,萬芳社區,99,25
萬芳社區,木柵,47,25
木柵,動物園,67,25
松山,南京三民,138,0
南京三民,台北小巨蛋,102,27
台北小巨蛋,南京復興,84,27
南京復興,松江南京,92,33
松江南京,中山,106,35
中山,北門,116,35
北門,西門,86,28
西門,小南門,83,34
小南門,中正紀念堂,76,27
中正紀念堂,古亭,87,38
古亭,台電大樓,85,33
台電大樓,公館,79,30
公館,萬隆,122,29
萬隆,景美,89,27
景美,大坪林,92,27
大坪林,七張,78,27
七張,新店區公所,81,24
新店區公所,新店,111,25
七張,小碧潭,203,0
迴龍,丹鳳,168,0
丹鳳,輔大,113,25
輔大,新莊,137,25
新莊,頭前庄,94,25
頭前庄,先嗇宮,108,25
先嗇宮,三重,142,25
三重,菜寮,84,25
菜寮,台北橋,97,25
台北橋,大橋頭,127,25
大橋頭,民權西路,72,26
民權西路,中山國小,72,33
中山國小,行天宮,96,30
行天宮,松江南京,78,30
松江南京,忠孝新生,102,30
忠孝新生,東門,136,38
東門,古亭,208,33
古亭,頂溪,187,33
頂溪,永安市場,103,29
永安市場,景安,90,29
景安,南勢角,97,28
蘆洲,三民高中,111,0
三民高中,徐匯中學,92,25
徐匯中學,三和國中,82,25
三和國中,三重國小,107,25
三重國小,大橋頭,151,25
淡水,紅樹林,175,0
紅樹林,竹圍,138,25
竹圍,關渡,148,25
關渡,忠義,80,25
忠義,復興崗,112,25
復興崗,北投,135,25
北投,奇岩,91,28
奇岩,唭哩岸,75,23
唭哩岸,石牌,103,24
石牌,明德,63,26
明德,芝山,79,26
芝山,士林,94,26
士林,劍潭,95,26
劍潭,圓山,112,26
圓山,民權西路,88,26
民權西路,雙連,60,34
雙連,中山,62,28
中山,台北車站,68,28
台北車站,台大醫院,67,35
台大醫院,中正紀念堂,95,26
中正紀念堂,東門,175,30
東門,大安森林公園,75,31
大安森林公園,大安,74,25
大安,信義安和,90,37
信義安和,台北101/世貿,94,26
台北101/世貿,象山,93,29
北投,奇岩,91,0
北投,新北投,157,0
新北產業園區,幸福,135,0
幸福,頭前庄,95,23
頭前庄,新埔民生,143,35
新埔民生,板橋,191,25
板橋,板新,153,40
板新,中原,111,25
中原,橋和,72,25
橋和,中和,104,25
中和,景安,194,25
景安,景平,84,35
景平,秀朗橋,79,25
秀朗橋,十四張,111,23
十四張,大坪林,145,23